Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,13,asymmetric,0.9099999999999999,0.21111047771529262
100% Corpus,13,asymmetric,symmetric,0.21200616297557864
100% Corpus,14,0.01,0.01,0.2112157415928535
100% Corpus,14,0.01,0.31,0.21985844696529977
100% Corpus,14,0.01,0.61,0.2113734835377136
100% Corpus,14,0.01,0.9099999999999999,0.21152706121692236
100% Corpus,14,0.01,symmetric,0.21355409020278918
100% Corpus,14,0.31,0.01,0.21113822466795534
100% Corpus,14,0.31,0.31,0.2170669610944567
100% Corpus,14,0.31,0.61,0.21168154544260354
100% Corpus,14,0.31,0.9099999999999999,0.21170251500260925
100% Corpus,14,0.31,symmetric,0.21201305564923126
100% Corpus,14,0.61,0.01,0.2111424218593419
100% Corpus,14,0.61,0.31,0.21788612157856702
100% Corpus,14,0.61,0.61,0.21007915790619244
100% Corpus,14,0.61,0.9099999999999999,0.22024407554252526
100% Corpus,14,0.61,symmetric,0.21212911287048095
100% Corpus,14,0.9099999999999999,0.01,0.21197376134212434
100% Corpus,14,0.9099999999999999,0.31,0.21973667966475746
100% Corpus,14,0.9099999999999999,0.61,0.2142539405437349
100% Corpus,14,0.9099999999999999,0.9099999999999999,0.2427059425911339
100% Corpus,14,0.9099999999999999,symmetric,0.21207299649314368
100% Corpus,14,symmetric,0.01,0.2112157415928535
100% Corpus,14,symmetric,0.31,0.21572476742958546
100% Corpus,14,symmetric,0.61,0.2113734835377136
100% Corpus,14,symmetric,0.9099999999999999,0.21152706121692236
100% Corpus,14,symmetric,symmetric,0.21355409020278918
100% Corpus,14,asymmetric,0.01,0.2112157415928535
100% Corpus,14,asymmetric,0.31,0.217000535925118
100% Corpus,14,asymmetric,0.61,0.2113734835377136
100% Corpus,14,asymmetric,0.9099999999999999,0.21152706121692236
100% Corpus,14,asymmetric,symmetric,0.21355409020278918
100% Corpus,15,0.01,0.01,0.21010559689614208
100% Corpus,15,0.01,0.31,0.21041659509373006
100% Corpus,15,0.01,0.61,0.2105500699851985
100% Corpus,15,0.01,0.9099999999999999,0.20948785672334966
100% Corpus,15,0.01,symmetric,0.21038711836165375
100% Corpus,15,0.31,0.01,0.21038711836165375
100% Corpus,15,0.31,0.31,0.2104165950937301
100% Corpus,15,0.31,0.61,0.21036183141990705
100% Corpus,15,0.31,0.9099999999999999,0.20948785672334966
100% Corpus,15,0.31,symmetric,0.21125565468653543
100% Corpus,15,0.61,0.01,0.21137940932358645
100% Corpus,15,0.61,0.31,0.21070811177917007
100% Corpus,15,0.61,0.61,0.21149459997037562
100% Corpus,15,0.61,0.9099999999999999,0.2137582304803744
100% Corpus,15,0.61,symmetric,0.21125565468653543
100% Corpus,15,0.9099999999999999,0.01,0.21217800328093048
100% Corpus,15,0.9099999999999999,0.31,0.21075566286188024
100% Corpus,15,0.9099999999999999,0.61,0.2096053569871273
100% Corpus,15,0.9099999999999999,0.9099999999999999,0.2488243588667781
100% Corpus,15,0.9099999999999999,symmetric,0.2115471713719754
100% Corpus,15,symmetric,0.01,0.21038711836165375
100% Corpus,15,symmetric,0.31,0.21041659509373006
100% Corpus,15,symmetric,0.61,0.2105500699851985
100% Corpus,15,symmetric,0.9099999999999999,0.20948785672334966
100% Corpus,15,symmetric,symmetric,0.21038711836165375
100% Corpus,15,asymmetric,0.01,0.21038711836165375
100% Corpus,15,asymmetric,0.31,0.21041659509373006
100% Corpus,15,asymmetric,0.61,0.21048729972802985
100% Corpus,15,asymmetric,0.9099999999999999,0.20948785672334966
100% Corpus,15,asymmetric,symmetric,0.21038711836165375
100% Corpus,16,0.01,0.01,0.21028918514014838
100% Corpus,16,0.01,0.31,0.21086623674239866
100% Corpus,16,0.01,0.61,0.20971390291506972
100% Corpus,16,0.01,0.9099999999999999,0.2101746873409479
100% Corpus,16,0.01,symmetric,0.21069944343451097
100% Corpus,16,0.31,0.01,0.21110343794472497
